user_id,account_creation_timestamp,house
609280cfd65e4600a8be2f67,2021-05-05 11:26:07.505,Hufflepuff
609bdfad6500f400a9ffa8ba,2021-05-12 14:01:17.704,Gryffindor
60a4e57bb4078800a8226b22,2021-05-19 10:16:27.229,Gryffindor
60921447bea2a400a88f251f,2021-05-05 03:43:03.909,Gryffindor
60a3269d1ff78a00a9ceef23,2021-05-18 02:29:49.453,Gryffindor
60ad06b911f13500a8aeb5c9,2021-05-25 14:16:25.441,Gryffindor
609ea182c6214800a8b5295c,2021-05-14 16:12:50.398,Gryffindor
60bb8ee478b0e700a8fad4ae,2021-06-05 14:49:08.591,Slytherin
609f3d67c6214800a8b75b80,2021-05-15 03:17:59.276,Hufflepuff
60b486e5c7002f00a87e8ba9,2021-05-31 06:49:09.244,Gryffindor
60959e6dd65e4600a8cc001c,2021-05-07 20:09:17.193,Ravenclaw
60bac518dd93f900a8e13d0b,2021-06-05 00:28:08.732,Hufflepuff
6097f693bea2a400a8a67595,2021-05-09 14:49:55.040,Hufflepuff
60b7930878b0e700a8e36475,2021-06-02 14:17:45.023,Gryffindor
60a2cc451ff78a00a9cd464c,2021-05-17 20:04:21.875,Hufflepuff
60a7dd8e0ddefb00a8561708,2021-05-21 16:19:26.957,Slytherin
6094b919bea2a400a89ae2de,2021-05-07 03:50:49.613,Gryffindor
60a310781ff78a00a9ce8400,2021-05-18 00:55:20.348,Ravenclaw
60addf760ddefb00a8743784,2021-05-26 05:41:10.709,Gryffindor
60b28925a8a7fb00a8ebad42,2021-05-29 18:34:13.340,Hufflepuff
60b9e06e78b0e700a8f1e639,2021-06-04 08:12:30.815,Ravenclaw
60aaa09b0ddefb00a8631b4c,2021-05-23 18:36:11.987,Slytherin
609f8bc4c6214800a8b8956d,2021-05-15 08:52:20.858,Gryffindor
60a8b1360ddefb00a85a21f5,2021-05-22 07:22:30.959,Hufflepuff
609989aed65e4600a8dac834,2021-05-10 19:29:50.754,Slytherin
60a50cb5b4078800a823a588,2021-05-19 13:03:49.232,Ravenclaw
60a80e4f1ff78a00a9eb6339,2021-05-21 19:47:27.944,Gryffindor
609e133f6500f400a909b9e0,2021-05-14 06:05:51.142,Slytherin
60b9553278b0e700a8eeffea,2021-06-03 22:18:26.842,Gryffindor
60b3f274c7002f00a87bc0f5,2021-05-30 20:15:48.817,Gryffindor
60ab94f01ff78a00a9fbb8fb,2021-05-24 11:58:40.359,Hufflepuff
60a6fb661ff78a00a9e4defb,2021-05-21 00:14:30.451,Ravenclaw
60adedf311f13500a8b3aa8c,2021-05-26 06:42:59.324,Gryffindor
60a9bae61ff78a00a9f292ed,2021-05-23 02:16:06.370,Hufflepuff
60afbd69c7002f00a8674a74,2021-05-27 15:40:25.181,Gryffindor
60b1ef06a8a7fb00a8e892ca,2021-05-29 07:36:38.842,Ravenclaw
